code,name,rank
101010000,北京,1
101020000,上海,9
101030000,天津,2
101040000,重庆,22
101050000,黑龙江,8
101060000,吉林,7
101070000,辽宁,6
101080000,内蒙古,5
101090000,河北,3
101100000,山西,4
101110000,陕西,27
101120000,山东,15
101130000,新疆,31
101140000,西藏,26
101150000,青海,29
101160000,甘肃,28
101170000,宁夏,30
101180000,河南,16
101190000,江苏,10
101200000,湖北,17
101210000,浙江,11
101220000,安徽,12
101230000,福建,13
101240000,江西,14
101250000,湖南,18
101260000,贵州,24
101270000,四川,23
101280000,广东,19
101290000,云南,25
101300000,广西,20
101310000,海南,21
101320000,香港,33
101330000,澳门,34
101340000,台湾,32
