province_code,code,name,rank
101010000,101010100,北京,1
101020000,101020100,上海,1
101030000,101030100,天津,1
101040000,101040100,重庆,2
101050000,101050100,哈尔滨,1
101050000,101050200,齐齐哈尔,2
101050000,101050300,牡丹江,10
101050000,101050400,佳木斯,8
101050000,101050500,绥化,12
101050000,101050600,黑河,11
101050000,101050700,伊春,7
101050000,101050800,大庆,6
101050000,101050900,七台河,9
101050000,101051000,鸡西,3
101050000,101051100,鹤岗,4
101050000,101051200,双鸭山,5
101050000,101051300,大兴安岭地区,13
101060000,101060100,长春,1
101060000,101060200,吉林,2
101060000,101060300,四平,3
101060000,101060400,通化,5
101060000,101060500,白城,8
101060000,101060600,辽源,4
101060000,101060700,松原,7
101060000,101060800,白山,6
101060000,101060900,延边朝鲜族自治州,9
101070000,101070100,沈阳,1
101070000,101070200,大连,2
101070000,101070300,鞍山,3
101070000,101070400,抚顺,4
101070000,101070500,本溪,5
101070000,101070600,丹东,6
101070000,101070700,锦州,7
101070000,101070800,营口,8
101070000,101070900,阜新,9
101070000,101071000,辽阳,10
101070000,101071100,铁岭,12
101070000,101071200,朝阳,13
101070000,101071300,盘锦,11
101070000,101071400,葫芦岛,14
101080000,101080100,呼和浩特,1
101080000,101080200,包头,2
101080000,101080300,乌海,3
101080000,101080400,通辽,5
101080000,101080500,赤峰,4
101080000,101080600,鄂尔多斯,6
101080000,101080700,呼伦贝尔,7
101080000,101080800,巴彦淖尔,8
101080000,101080900,乌兰察布,9
101080000,101081000,锡林郭勒盟,11
101080000,101081100,兴安盟,10
101080000,101081200,阿拉善盟,12
101090000,101090100,石家庄,1
101090000,101090200,保定,6
101090000,101090300,张家口,7
101090000,101090400,承德,8
101090000,101090500,唐山,2
101090000,101090600,廊坊,10
101090000,101090700,沧州,9
101090000,101090800,衡水,11
101090000,101090900,邢台,5
101090000,101091000,邯郸,4
101090000,101091100,秦皇岛,3
101100000,101100100,太原,1
101100000,101100200,大同,2
101100000,101100300,阳泉,3
101100000,101100400,晋中,7
101100000,101100500,长治,4
101100000,101100600,晋城,5
101100000,101100700,临汾,10
101100000,101100800,运城,8
101100000,101100900,朔州,6
101100000,101101000,忻州,9
101100000,101101100,吕梁,11
101110000,101110100,西安,1
101110000,101110200,咸阳,4
101110000,101110300,延安,6
101110000,101110400,榆林,8
101110000,101110500,渭南,5
101110000,101110600,商洛,10
101110000,101110700,安康,9
101110000,101110800,汉中,7
101110000,101110900,宝鸡,3
101110000,101111000,铜川,2
101120000,101120100,济南,1
101120000,101120200,青岛,2
101120000,101120300,淄博,3
101120000,101120400,德州,14
101120000,101120500,烟台,6
101120000,101120600,潍坊,7
101120000,101120700,济宁,8
101120000,101120800,泰安,9
101120000,101120900,临沂,13
101120000,101121000,菏泽,17
101120000,101121100,滨州,16
101120000,101121200,东营,5
101120000,101121300,威海,10
101120000,101121400,枣庄,4
101120000,101121500,日照,11
101120000,101121700,聊城,15
101130000,101130100,乌鲁木齐,7
101130000,101130200,克拉玛依,8
101130000,101130300,昌吉回族自治州,11
101130000,101130400,巴音郭楞蒙古自治州,13
101130000,101130500,博尔塔拉蒙古自治州,12
101130000,101130600,伊犁哈萨克自治州,18
101130000,101130800,吐鲁番,9
101130000,101130900,哈密,10
101130000,101131000,阿克苏地区,14
101130000,101131100,克孜勒苏柯尔克孜自治州,15
101130000,101131200,喀什地区,16
101130000,101131300,和田地区,17
101130000,101131400,塔城地区,19
101130000,101131500,阿勒泰地区,20
101130000,101131600,石河子,5
101130000,101131700,阿拉尔,1
101130000,101131800,图木舒克,22
101130000,101131900,五家渠,23
101130000,101132000,铁门关,21
101130000,101132100,北屯市,2
101130000,101132200,可克达拉市,3
101130000,101132300,昆玉市,4
101130000,101132400,双河市,6
101130000,101132500,新星市,0
101130000,101132600,胡杨河市,0
101130000,101132700,白杨市,0
101140000,101140100,拉萨,1
101140000,101140200,日喀则,2
101140000,101140300,昌都,3
101140000,101140400,林芝,4
101140000,101140500,山南,5
101140000,101140600,那曲,6
101140000,101140700,阿里地区,7
101150000,101150100,西宁,1
101150000,101150200,海东,2
101150000,101150300,海北藏族自治州,3
101150000,101150400,黄南藏族自治州,4
101150000,101150500,海南藏族自治州,5
101150000,101150600,果洛藏族自治州,6
101150000,101150700,玉树藏族自治州,7
101150000,101150800,海西蒙古族藏族自治州,8
101160000,101160100,兰州,1
101160000,101160200,定西,11
101160000,101160300,平凉,8
101160000,101160400,庆阳,10
101160000,101160500,武威,6
101160000,101160600,金昌,3
101160000,101160700,张掖,7
101160000,101160800,酒泉,9
101160000,101160900,天水,5
101160000,101161000,白银,4
101160000,101161100,陇南,12
101160000,101161200,嘉峪关,2
101160000,101161300,临夏回族自治州,13
101160000,101161400,甘南藏族自治州,14
101170000,101170100,银川,1
101170000,101170200,石嘴山,2
101170000,101170300,吴忠,3
101170000,101170400,固原,4
101170000,101170500,中卫,5
101180000,101180100,郑州,1
101180000,101180200,安阳,5
101180000,101180300,新乡,7
101180000,101180400,许昌,10
101180000,101180500,平顶山,4
101180000,101180600,信阳,15
101180000,101180700,南阳,13
101180000,101180800,开封,2
101180000,101180900,洛阳,3
101180000,101181000,商丘,14
101180000,101181100,焦作,8
101180000,101181200,鹤壁,6
101180000,101181300,濮阳,9
101180000,101181400,周口,16
101180000,101181500,漯河,11
101180000,101181600,驻马店,17
101180000,101181700,三门峡,12
101180000,101181800,济源,18
101190000,101190100,南京,1
101190000,101190200,无锡,2
101190000,101190300,镇江,11
101190000,101190400,苏州,5
101190000,101190500,南通,6
101190000,101190600,扬州,10
101190000,101190700,盐城,9
101190000,101190800,徐州,3
101190000,101190900,淮安,8
101190000,101191000,连云港,7
101190000,101191100,常州,5
101190000,101191200,泰州,12
101190000,101191300,宿迁,13
101200000,101200100,武汉,1
101200000,101200200,襄阳,5
101200000,101200300,鄂州,6
101200000,101200400,孝感,8
101200000,101200500,黄冈,10
101200000,101200600,黄石,2
101200000,101200700,咸宁,11
101200000,101200800,荆州,9
101200000,101200900,宜昌,4
101200000,101201000,十堰,3
101200000,101201100,随州,12
101200000,101201200,荆门,7
101200000,101201300,恩施土家族苗族自治州,13
101200000,101201400,仙桃,17
101200000,101201500,潜江,14
101200000,101201600,天门,16
101200000,101201700,神农架,15
101210000,101210100,杭州,1
101210000,101210200,湖州,5
101210000,101210300,嘉兴,4
101210000,101210400,宁波,2
101210000,101210500,绍兴,6
101210000,101210600,台州,10
101210000,101210700,温州,3
101210000,101210800,丽水,11
101210000,101210900,金华,7
101210000,101211000,衢州,8
101210000,101211100,舟山,9
101220000,101220100,合肥,1
101220000,101220200,蚌埠,3
101220000,101220300,芜湖,2
101220000,101220400,淮南,4
101220000,101220500,马鞍山,5
101220000,101220600,安庆,8
101220000,101220700,宿州,12
101220000,101220800,阜阳,11
101220000,101220900,亳州,14
101220000,101221000,滁州,10
101220000,101221100,淮北,6
101220000,101221200,铜陵,7
101220000,101221300,宣城,16
101220000,101221400,六安,13
101220000,101221500,池州,15
101220000,101221600,黄山,9
101230000,101230100,福州,1
101230000,101230200,厦门,2
101230000,101230300,宁德,9
101230000,101230400,莆田,3
101230000,101230500,泉州,5
101230000,101230600,漳州,6
101230000,101230700,龙岩,8
101230000,101230800,三明,4
101230000,101230900,南平,7
101240000,101240100,南昌,1
101240000,101240200,九江,4
101240000,101240300,上饶,11
101240000,101240400,抚州,10
101240000,101240500,宜春,9
101240000,101240600,吉安,8
101240000,101240700,赣州,7
101240000,101240800,景德镇,2
101240000,101240900,萍乡,3
101240000,101241000,新余,5
